date,model,office,state,party,candidate,win_prob,est_diff,est_share,est_share_2p
2016-07-05,pec,P,SD,D,CLINTON,0.01,-0.18,,
2016-07-05,pec,P,SD,R,TRUMP,0.99,0.18,,
2016-07-05,pec,P,TN,D,CLINTON,0.0,-0.09,,
2016-07-05,pec,P,TN,R,TRUMP,1.0,0.09,,
2016-07-05,pec,P,TX,D,CLINTON,0.02,-0.08,,
2016-07-05,pec,P,TX,R,TRUMP,0.98,0.08,,
2016-07-05,pec,P,UT,D,CLINTON,0.18,-0.07,,
2016-07-05,pec,P,UT,R,TRUMP,0.82,0.07,,
2016-07-05,pec,P,VA,D,CLINTON,0.65,0.03,,
2016-07-05,pec,P,VA,R,TRUMP,0.35,-0.03,,
2016-07-05,pec,P,VT,D,CLINTON,1.0,0.36,,
2016-07-05,pec,P,VT,R,TRUMP,0.0,-0.36,,
2016-07-05,pec,P,WA,D,CLINTON,0.98,0.12,,
2016-07-05,pec,P,WA,R,TRUMP,0.02,-0.12,,
2016-07-05,pec,P,WI,D,CLINTON,0.85,0.08,,
2016-07-05,pec,P,WI,R,TRUMP,0.15,-0.08,,
2016-07-05,pec,P,WV,D,CLINTON,0.0,-0.27,,
2016-07-05,pec,P,WV,R,TRUMP,1.0,0.27,,
2016-07-05,pec,P,WY,D,CLINTON,0.0,-0.41,,
2016-07-05,pec,P,WY,R,TRUMP,1.0,0.41,,
2016-07-05,pec,S,AK,D,,0.01,-0.12,,
2016-07-05,pec,S,AK,R,,0.99,0.12,,
2016-07-05,pec,S,AZ,D,,0.36,-0.02,,
2016-07-05,pec,S,AZ,R,,0.64,0.02,,
2016-07-05,pec,S,CO,D,,0.93,0.08,,
2016-07-05,pec,S,CO,R,,0.07,-0.08,,
2016-07-05,pec,S,FL,D,,0.5,,,
2016-07-05,pec,S,FL,R,,0.5,,,
2016-07-05,pec,S,IA,D,,0.07,-0.07,,
2016-07-05,pec,S,IA,R,,0.93,0.07,,
2016-07-05,pec,S,IL,D,,0.86,0.06,,
2016-07-05,pec,S,IL,R,,0.14,-0.06,,
2016-07-05,pec,S,IN,D,,0.07,0.14,,
2016-07-05,pec,S,IN,R,,0.93,-0.14,,
2016-07-05,pec,S,LA,D,,0.07,-0.08,,
2016-07-05,pec,S,LA,R,,0.93,0.08,,
2016-07-05,pec,S,MO,D,,0.23,-0.07,,
2016-07-05,pec,S,MO,R,,0.77,0.07,,
2016-07-05,pec,S,NC,D,,0.29,-0.02,,
2016-07-05,pec,S,NC,R,,0.71,0.02,,
2016-07-05,pec,S,NH,D,,0.5,0.01,,
2016-07-05,pec,S,NH,R,,0.5,-0.01,,
2016-07-05,pec,S,NV,D,,0.5,,,
2016-07-05,pec,S,NV,R,,0.5,,,
2016-07-05,pec,S,OH,D,,0.43,,,
2016-07-05,pec,S,OH,R,,0.57,,,
2016-07-05,pec,S,PA,D,,0.07,-0.08,,
2016-07-05,pec,S,PA,R,,0.93,0.08,,
2016-07-05,pec,S,WI,D,,0.97,0.09,,
2016-07-05,pec,S,WI,R,,0.03,-0.09,,
2016-07-06,pec,P,AK,D,CLINTON,0.03,-0.14,,
2016-07-06,pec,P,AK,R,TRUMP,0.97,0.14,,
2016-07-06,pec,P,AL,D,CLINTON,0.0,-0.22,,
2016-07-06,pec,P,AL,R,TRUMP,1.0,0.22,,
2016-07-06,pec,P,AR,D,CLINTON,0.07,-0.11,,
2016-07-06,pec,P,AR,R,TRUMP,0.93,0.11,,
2016-07-06,pec,P,AZ,D,CLINTON,0.4,-0.04,,
2016-07-06,pec,P,AZ,R,TRUMP,0.6,0.04,,
2016-07-06,pec,P,CA,D,CLINTON,1.0,0.26,,
2016-07-06,pec,P,CA,R,TRUMP,0.0,-0.26,,
2016-07-06,pec,P,CO,D,CLINTON,0.26,0.01,,
2016-07-06,pec,P,CO,R,TRUMP,0.74,-0.01,,
2016-07-06,pec,P,CT,D,CLINTON,0.84,0.075,,
2016-07-06,pec,P,CT,R,TRUMP,0.16,-0.075,,
2016-07-06,pec,P,DC,D,CLINTON,1.0,0.83,,
2016-07-06,pec,P,DC,R,TRUMP,0.0,-0.83,,
2016-07-06,pec,P,DE,D,CLINTON,0.99,0.19,,
2016-07-06,pec,P,DE,R,TRUMP,0.01,-0.19,,
2016-07-06,pec,P,FL,D,CLINTON,0.7,0.005,,
2016-07-06,pec,P,FL,R,TRUMP,0.3,-0.005,,
2016-07-06,pec,P,GA,D,CLINTON,0.3,-0.04,,
2016-07-06,pec,P,GA,R,TRUMP,0.7,0.04,,
2016-07-06,pec,P,HI,D,CLINTON,1.0,0.43,,
2016-07-06,pec,P,HI,R,TRUMP,0.0,-0.43,,
2016-07-06,pec,P,IA,D,CLINTON,0.65,0.03,,
2016-07-06,pec,P,IA,R,TRUMP,0.35,-0.03,,
2016-07-06,pec,P,ID,D,CLINTON,0.0,-0.32,,
2016-07-06,pec,P,ID,R,TRUMP,1.0,0.32,,
2016-07-06,pec,P,IL,D,CLINTON,1.0,0.25,,
2016-07-06,pec,P,IL,R,TRUMP,0.0,-0.25,,
2016-07-06,pec,P,IN,D,CLINTON,0.15,-0.075,,
2016-07-06,pec,P,IN,R,TRUMP,0.85,0.075,,
2016-07-06,pec,P,KS,D,CLINTON,0.42,-0.015,,
2016-07-06,pec,P,KS,R,TRUMP,0.58,0.015,,
2016-07-06,pec,P,KY,D,CLINTON,0.0,-0.23,,
2016-07-06,pec,P,KY,R,TRUMP,1.0,0.23,,
2016-07-06,pec,P,LA,D,CLINTON,0.02,-0.16,,
2016-07-06,pec,P,LA,R,TRUMP,0.98,0.16,,
2016-07-06,pec,P,MA,D,CLINTON,1.0,0.3,,
2016-07-06,pec,P,MA,R,TRUMP,0.0,-0.3,,
2016-07-06,pec,P,MD,D,CLINTON,1.0,0.35,,
2016-07-06,pec,P,MD,R,TRUMP,0.0,-0.35,,
2016-07-06,pec,P,ME,D,CLINTON,0.82,0.07,,
2016-07-06,pec,P,ME,R,TRUMP,0.18,-0.07,,
2016-07-06,pec,P,MI,D,CLINTON,0.91,0.11,,
2016-07-06,pec,P,MI,R,TRUMP,0.09,-0.11,,
2016-07-06,pec,P,MN,D,CLINTON,0.74,0.05,,
2016-07-06,pec,P,MN,R,TRUMP,0.26,-0.05,,
2016-07-06,pec,P,MO,D,CLINTON,0.26,-0.015,,
2016-07-06,pec,P,MO,R,TRUMP,0.74,0.015,,
2016-07-06,pec,P,MS,D,CLINTON,0.35,-0.13,,
2016-07-06,pec,P,MS,R,TRUMP,0.65,0.13,,
2016-07-06,pec,P,MT,D,CLINTON,0.03,-0.14,,
2016-07-06,pec,P,MT,R,TRUMP,0.97,0.14,,
2016-07-06,pec,P,NC,D,CLINTON,0.5,0.02,,
2016-07-06,pec,P,NC,R,TRUMP,0.5,-0.02,,
2016-07-06,pec,P,ND,D,CLINTON,0.0,-0.2,,
2016-07-06,pec,P,ND,R,TRUMP,1.0,0.2,,
2016-07-06,pec,P,NE,D,CLINTON,0.0,-0.205,,
2016-07-06,pec,P,NE,R,TRUMP,1.0,0.205,,
2016-07-06,pec,P,NH,D,CLINTON,0.7,0.04,,
2016-07-06,pec,P,NH,R,TRUMP,0.3,-0.04,,
2016-07-06,pec,P,NJ,D,CLINTON,0.93,0.12,,
2016-07-06,pec,P,NJ,R,TRUMP,0.07,-0.12,,
2016-07-06,pec,P,NM,D,CLINTON,0.85,0.08,,
2016-07-06,pec,P,NM,R,TRUMP,0.15,-0.08,,
2016-07-06,pec,P,NV,D,CLINTON,0.18,-0.035,,
2016-07-06,pec,P,NV,R,TRUMP,0.82,0.035,,
2016-07-06,pec,P,NY,D,CLINTON,1.0,0.2,,
2016-07-06,pec,P,NY,R,TRUMP,0.0,-0.2,,
2016-07-06,pec,P,OH,D,CLINTON,0.7,0.03,,
2016-07-06,pec,P,OH,R,TRUMP,0.3,-0.03,,
2016-07-06,pec,P,OK,D,CLINTON,0.0,-0.34,,
2016-07-06,pec,P,OK,R,TRUMP,1.0,0.34,,
2016-07-06,pec,P,OR,D,CLINTON,0.72,0.11,,
2016-07-06,pec,P,OR,R,TRUMP,0.28,-0.11,,
2016-07-06,pec,P,PA,D,CLINTON,0.55,0.04,,
2016-07-06,pec,P,PA,R,TRUMP,0.45,-0.04,,
2016-07-06,pec,P,RI,D,CLINTON,1.0,0.28,,
2016-07-06,pec,P,RI,R,TRUMP,0.0,-0.28,,
2016-07-06,pec,P,SC,D,CLINTON,0.09,-0.1,,
2016-07-06,pec,P,SC,R,TRUMP,0.91,0.1,,
2016-07-06,pec,P,SD,D,CLINTON,0.01,-0.18,,
2016-07-06,pec,P,SD,R,TRUMP,0.99,0.18,,
2016-07-06,pec,P,TN,D,CLINTON,0.12,-0.09,,
2016-07-06,pec,P,TN,R,TRUMP,0.88,0.09,,
2016-07-06,pec,P,TX,D,CLINTON,0.15,-0.08,,
2016-07-06,pec,P,TX,R,TRUMP,0.85,0.08,,
2016-07-06,pec,P,UT,D,CLINTON,0.18,-0.07,,
2016-07-06,pec,P,UT,R,TRUMP,0.82,0.07,,
2016-07-06,pec,P,VA,D,CLINTON,0.65,0.03,,
2016-07-06,pec,P,VA,R,TRUMP,0.35,-0.03,,
2016-07-06,pec,P,VT,D,CLINTON,1.0,0.36,,
2016-07-06,pec,P,VT,R,TRUMP,0.0,-0.36,,
2016-07-06,pec,P,WA,D,CLINTON,0.94,0.12,,
2016-07-06,pec,P,WA,R,TRUMP,0.06,-0.12,,
2016-07-06,pec,P,WI,D,CLINTON,0.85,0.08,,
2016-07-06,pec,P,WI,R,TRUMP,0.15,-0.08,,
2016-07-06,pec,P,WV,D,CLINTON,0.0,-0.27,,
2016-07-06,pec,P,WV,R,TRUMP,1.0,0.27,,
2016-07-06,pec,P,WY,D,CLINTON,0.0,-0.41,,
2016-07-06,pec,P,WY,R,TRUMP,1.0,0.41,,
2016-07-06,pec,S,AK,D,,0.01,-0.12,,
2016-07-06,pec,S,AK,R,,0.99,0.12,,
2016-07-06,pec,S,AZ,D,,0.36,-0.02,,
2016-07-06,pec,S,AZ,R,,0.64,0.02,,
2016-07-06,pec,S,CO,D,,0.93,0.08,,
2016-07-06,pec,S,CO,R,,0.07,-0.08,,
2016-07-06,pec,S,FL,D,,0.5,,,
2016-07-06,pec,S,FL,R,,0.5,,,
2016-07-06,pec,S,IA,D,,0.07,-0.07,,
2016-07-06,pec,S,IA,R,,0.93,0.07,,
2016-07-06,pec,S,IL,D,,0.86,0.06,,
2016-07-06,pec,S,IL,R,,0.14,-0.06,,
2016-07-06,pec,S,IN,D,,0.07,0.14,,
2016-07-06,pec,S,IN,R,,0.93,-0.14,,
2016-07-06,pec,S,LA,D,,0.07,-0.08,,
2016-07-06,pec,S,LA,R,,0.93,0.08,,
2016-07-06,pec,S,MO,D,,0.23,-0.07,,
2016-07-06,pec,S,MO,R,,0.77,0.07,,
2016-07-06,pec,S,NC,D,,0.29,-0.02,,
2016-07-06,pec,S,NC,R,,0.71,0.02,,
2016-07-06,pec,S,NH,D,,0.5,0.01,,
2016-07-06,pec,S,NH,R,,0.5,-0.01,,
2016-07-06,pec,S,NV,D,,0.5,,,
2016-07-06,pec,S,NV,R,,0.5,,,
2016-07-06,pec,S,OH,D,,0.43,,,
2016-07-06,pec,S,OH,R,,0.57,,,
2016-07-06,pec,S,PA,D,,0.07,-0.08,,
2016-07-06,pec,S,PA,R,,0.93,0.08,,
2016-07-06,pec,S,WI,D,,0.97,0.09,,
2016-07-06,pec,S,WI,R,,0.03,-0.09,,
2016-07-07,pec,P,AK,D,CLINTON,0.03,-0.14,,
2016-07-07,pec,P,AK,R,TRUMP,0.97,0.14,,
2016-07-07,pec,P,AL,D,CLINTON,0.0,-0.22,,
2016-07-07,pec,P,AL,R,TRUMP,1.0,0.22,,
2016-07-07,pec,P,AR,D,CLINTON,0.07,-0.11,,
2016-07-07,pec,P,AR,R,TRUMP,0.93,0.11,,
2016-07-07,pec,P,AZ,D,CLINTON,0.4,-0.04,,
2016-07-07,pec,P,AZ,R,TRUMP,0.6,0.04,,
2016-07-07,pec,P,CA,D,CLINTON,1.0,0.26,,
2016-07-07,pec,P,CA,R,TRUMP,0.0,-0.26,,
